packetFormat,gameMajorVersion,gameMinorVersion,packetVersion,packetId,sessionUID,sessionTime,frameIdentifier,playerCarIndex,secondaryPlayerCarIndex,lastLapTime,currentLapTime,sector1TimeInMS,sector2TimeInMS,bestLapTime,bestLapNum,bestLapSector1TimeInMS,bestLapSector2TimeInMS,bestLapSector3TimeInMS,bestOverallSector1TimeInMS,bestOverallSector1LapNum,bestOverallSector2TimeInMS,bestOverallSector2LapNum,bestOverallSector3TimeInMS,bestOverallSector3LapNum,lapDistance,totalDistance,safetyCarDelta,carPosition,currentLapNum,pitStatus,sector,currentLapInvalid,penalties,gridPosition,driverStatus,resultStatus
2020,1,18,1,2,6777929756610482444,159.228012,6571,19,255,83.404640,69.380547,18120,38181,83.404640,1,24704,40586,18113,18120,2,38181,2,18113,1,3863.045898,8157.458984,-0.000000,6,2,0,2,0,0,10,4,2
2020,1,18,1,2,6777929756610482444,159.244598,6572,19,255,83.404640,69.397400,18120,38181,83.404640,1,24704,40586,18113,18120,2,38181,2,18113,1,3864.355957,8158.769043,-0.000000,6,2,0,2,0,0,10,4,2
2020,1,18,1,2,6777929756610482444,159.277939,6573,19,255,83.404640,69.430679,18120,38181,83.404640,1,24704,40586,18113,18120,2,38181,2,18113,1,3866.991211,8161.404297,-0.000000,6,2,0,2,0,0,10,4,2
2020,1,18,1,2,6777929756610482444,159.294647,6574,19,255,83.404640,69.447327,18120,38181,83.404640,1,24704,40586,18113,18120,2,38181,2,18113,1,3868.312012,8162.725098,-0.000000,6,2,0,2,0,0,10,4,2
2020,1,18,1,2,6777929756610482444,159.328049,6575,19,255,83.404640,69.480759,18120,38181,83.404640,1,24704,40586,18113,18120,2,38181,2,18113,1,3870.953125,8165.366211,-0.000000,6,2,0,2,0,0,10,4,2
2020,1,18,1,2,6777929756610482444,159.344681,6576,19,255,83.404640,69.497414,18120,38181,83.404640,1,24704,40586,18113,18120,2,38181,2,18113,1,3872.269531,8166.682617,-0.000000,6,2,0,2,0,0,10,4,2
2020,1,18,1,2,6777929756610482444,159.378159,6577,19,255,83.404640,69.530769,18120,38181,83.404640,1,24704,40586,18113,18120,2,38181,2,18113,1,3874.920410,8169.333496,-0.000000,6,2,0,2,0,0,10,4,2
2020,1,18,1,2,6777929756610482444,159.394745,6578,19,255,83.404640,69.547546,18120,38181,83.404640,1,24704,40586,18113,18120,2,38181,2,18113,1,3876.233398,8170.646484,-0.000000,6,2,0,2,0,0,10,4,2
2020,1,18,1,2,6777929756610482444,159.428131,6579,19,255,83.404640,69.580833,18120,38181,83.404640,1,24704,40586,18113,18120,2,38181,2,18113,1,3878.877930,8173.291016,-0.000000,6,2,0,2,0,0,10,4,2
2020,1,18,1,2,6777929756610482444,159.445007,6580,19,255,83.404640,69.597504,18120,38181,83.404640,1,24704,40586,18113,18120,2,38181,2,18113,1,3880.214844,8174.627930,-0.000000,6,2,0,2,0,0,10,4,2
2020,1,18,1,2,6777929756610482444,159.478226,6581,19,255,83.404640,69.630898,18120,38181,83.404640,1,24704,40586,18113,18120,2,38181,2,18113,1,3882.848145,8177.261230,-0.000000,6,2,0,2,0,0,10,4,2
2020,1,18,1,2,6777929756610482444,159.495163,6582,19,255,83.404640,69.647606,18120,38181,83.404640,1,24704,40586,18113,18120,2,38181,2,18113,1,3884.191406,8178.604492,-0.000000,6,2,0,2,0,0,10,4,2
2020,1,18,1,2,6777929756610482444,159.528305,6583,19,255,83.404640,69.680923,18120,38181,83.404640,1,24704,40586,18113,18120,2,38181,2,18113,1,3886.819824,8181.232910,-0.000000,6,2,0,2,0,0,10,4,2
2020,1,18,1,2,6777929756610482444,159.544785,6584,19,255,83.404640,69.697693,18120,38181,83.404640,1,24704,40586,18113,18120,2,38181,2,18113,1,3888.127441,8182.540527,-0.000000,6,2,0,2,0,0,10,4,2
